name;type;alignment;ac;armor_type;hit_points;hit_die;speed;str;dex;con;int;wis;cha;save_throws;skills;dam_resist;dam_immune;cond_immune;senses;language;challenge;xp;none;actions;leg_actions;abilities
Wyvern; Large dragon; unaligned; 13; natural armor; 110; 13d10+39; 20 ft., fly 80 ft.; 19; 10; 16; 5; 12; 6; ; Perception +4; ; ; ; darkvision 60 ft., passive Perception 14; ; 6; 2,300; ; Multiattack.The wyvern makes two attacks: one with its bite and one with its stinger. While flying, it can use its claws in place of one other attack.<br>Bite. Melee Weapon Attack: +7 to hit, reach 10 ft., one creature. <br>Hit:11 (2d6 + 4) piercing damage.<br>Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. <br>Hit: 13 (2d8 + 4) slashing damage.<br>Stinger. Melee Weapon Attack: +7 to hit, reach 10 ft., one creature. <br>Hit:11 (2d6 + 4) piercing damage. The target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.; ;
Yuan-ti Malison; Medium monstrosity (shapechanger, yuan-ti);  neutral evil; 12; ; 66; 12d8+12; 30 ft.; 16; 14; 13; 14; 12; 16; ; Deception +5, Stealth +4; ; poison; poisoned; darkvision 60 ft., passive Perception 11; Abyssal, Common, Draconic; 3; 700; ; Actions for Type 1<br>Multiattack (Yuan‑ti Form Only).The yuan-ti makes two ranged attacks or two melee attacks, but can use its bite only once.<br>Bite. Melee Weapon Attack:+5 to hit, reach 5 ft., one creature. <br>Hit: 5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.<br>Scimitar (Yuan‑ti Form Only). Melee Weapon Attack:+5 to hit, reach 5 ft., one target. <br>Hit:6 (1d6 + 3) slashing damage.<br>Longbow (Yuan‑ti Form Only). Ranged Weapon Attack:+4 to hit, range 150/600 ft., one target. <br>Hit:6 (1d8 + 2) piercing damage plus 7 (2d6) poison damage.<br>Actions for Type 2<br>Multiattack (Yuan‑ti Form Only).The yuan-ti makes two bite attacks using its snake arms.<br>Bite. Melee Weapon Attack:+5 to hit, reach 5 ft., one creature. <br>Hit:5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.<br>Actions for Type 3<br>Multiattack (Yuan‑ti Form Only).The yuan-ti makes two ranged attacks or two melee attacks, but can constrict only once.<br>Bite (Snake Form Only). Melee Weapon Attack:+5 to hit, reach 5 ft., one creature. <br>Hit:5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.<br>Constrict. Melee Weapon Attack:+5 to hit, reach 5 ft., one target. <br>Hit:10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the yuan-ti can't constrict another target.<br>Scimitar (Yuan‑ti Form Only). Melee Weapon Attack:+5 to hit, reach 5 ft., one target. <br>Hit:6 (1d6 + 3) slashing damage.<br>Longbow (Yuan‑ti Form Only). Ranged Weapon Attack:+4 to hit, range 150/600 ft., one target. <br>Hit:6 (1d8 + 2) piercing damage.; ; Shapechanger.The yuan-ti can use its action to polymorph into a Medium snake, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It doesn't change form if it dies.<br>Innate Spellcasting (Yuan‑ti Form Only).The yuan-ti's innate spellcasting ability is Charisma (spell save DC 13). The yuan-ti can innately cast the following spells, requiring no material components:<br>At will: animal friendship (snakes only)<br>3/day: suggestion<br>Magic Resistance.The yuan-ti has advantage on saving throws against spells and other magical effects.<br>Malison Type.The yuan-ti has one of the following types:<br>Type 1:Human body with snake head<br>Type 2:Human head and body with snakes for arms<br>Type 3: Human head and upper body with a serpentine lower body instead of legs
Yuan-ti Pureblood; Medium humanoid (yuan-ti); neutral evil; 11; ; 40; 9d8; 30 ft.; 11; 12; 11; 13; 12; 14; ; Deception +6, Perception +3, Stealth +3; ; poison; poisoned; darkvision 60 ft., passive Perception 13; Abyssal, Common, Draconic; 1; 200; ; Multiattack.The yuan-ti makes two melee attacks.<br>Scimitar. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:4 (1d6 + 1) slashing damage.<br>Shortbow. Ranged Weapon Attack:+3 to hit, range 80/320 ft., one target. <br>Hit:4 (1d6 + 1) piercing damage plus 7 (2d6) poison damage.; ; Innate Spellcasting.The yuan-ti's spellcasting ability is Charisma (spell save DC 12). The yuan-ti can innately cast the following spells, requiring no material components:<br>At will: animal friendship (snakes only)<br>3/day each: poison spray, suggestion<br>Magic Resistance.The yuan-ti has advantage on saving throws against spells and other magical effects.
Aarakocra; Medium humanoid (aarakocra); neutral good; 12; ; 13; 3d8; 20 ft., fly 50ft.; 10; 14; 10; 11; 12; 11; Perception +5; ; ; ; ; passive Perception 15; Auran; 1/4; 50; ; Talon. Melee Weapon Attack: +4 to hit , reach 5 ft. , one target. Hit: 4 (1d4+2) slashing damage .<br><br>javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5ft. or range 30/120 ft ., one target. Hit: 5 (1d6 + 2) piercing damage.; ; Dive Attack<br>If the aarakocra is flying and dives at leas t 30 feet<br>straight toward a target an d then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.
Aboleth; Large aberration; lawful evil; 17; natural armor; 135; 18d10+36; 10ft., swim 40ft.; 21; 9; 15; 18; 15; 18; Con +6, lnt +8, Wis +6; History +12, Perception +10; ; ; ; darkvision 120 ft ., passive Perception 20; Deep Speech, telepathy 120ft.; 10; 5900; ; Multiattack. The aboleth makes three tentacle attacks.<br><br>Tentacle. Melee Weapon Attack: +9 to hit, reach 10ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body<br>of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.<br><br>Tail. Melee Weapon Attack: +9 to hit, reach 10ft. one target.<br>Hit: 15 (3d6 + 5) bludgeoning damage.<br>Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it . The target must succeed on a DC 14 Wisdom saving throw or be mag ically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.<br>Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends . No more than once every 24 hours, the target ca n also repeat the saving throw when it is at leas t 1 mile away from the aboleth.; The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aboleth regains spent legendary act ions at the start of its turn.<br><br>Detect. The aboleth makes a Wisdom (Perception) check.<br>Tail Swipe. The aboleth makes one tail attack.<br>Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, an d the aboleth regains hit points equal to the damage the creature takes.; Amphibious. The aboleth can breathe air and water.<br><br>Mucous Cloud. While underwater, the aboleth is surrounded by trans formative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.<br><br>Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.
Animated Armor; Medium construct; unaligned; 18; natural armor; 33; 6d8+6; 25ft.; 14; 11; 13; 1; 3; 1; ; ; ; poison, psychic; blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned; blindsight 60ft. (blind beyond this radius), passive Perception 6; ; 1; 200; ; Multiattack. The armor makes two melee attacks.<br><br>Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (ld6 + 2) bludgeoning damage.; ; Antimagic Susceptibility. The armor is incapacitated while in the area of an anti magic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.<br><br>False Appearance. While the armor remains motion less, it is indistinguishable from a normal suit of armor
Flying Sword; Small Construct; unaligned; 17; natural armor; 17; 5d6; 0ft, fly 50ft.; 13; 15; 11; 1; 5; 1; Dex +4; ; ; poison, psychic; blinded, charmed, deafened , frightened, paralyzed, petrified , poisoned; blindsight 60ft. (blind beyond this radius), passive Perception 7; ; 1/4; 50; ; Longsword. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: S (1d8 + 1) slashing damage.; ; Antimagic Susceptibility. The sword is incapacitated while in the area of an anti magic field. if targeted by dispel magic, the sword must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.<br><br>False Appearance. While the sword remains motionless and isn't flying, it is indistinguishable from a normal sword.
Ankheg; Large monstrosity; unaligned; 14; natural armor; 39; 6d10+6; 30ft., burrow 10ft.; 17; 11; 13; 1; 13; 6; ; ; ; ; ; darkvision 60ft., tremorsense 60ft., passive Perception 11; ; 2; 450; ; Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 3) slashing damage plus 3 (1d6) acid damage. If the target is a Large or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the ankheg can bite only the grappled creature and has advantage on attack rolls to do so.<br><br>Acid Spray (Recharge 6). The ankheg spits acid in a line that is 30 feet long and 5 feet wide, provided that it has no creature grappled. Each creature in that line must make a DC 13 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one.; ; 
Azer; Medium elemental; lawful neutral; 17; natural armor, shield; 39; 6d8 + 12; 30ft.; 17; 12; 15; 12; 13; 10; Con +4; ; ; fire, poison; poisoned; passive Perception 11; Ignan; 2; 450; ; Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft ., one target. Hit: 7 (1d8 + 3) bludgeoning damage, or 8 (1d10 + 3) bludgeoning damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.; ; Heated Body. A creature that touches the azer or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage.<br><br>Heated Weapons. When the azer hits with a metal melee<br>weapon, it deals an extra 3 (1d6) fire damage (included in<br>the attack).<br><br>Illumination. The azer sheds bright light in a 10-foot radius and dim light for an additional 10 feet.
Banshee; Medium undead; chaotic evil; 12; ; 58; 13d8; 0ft., fly40ft. (hover); 1; 14; 10; 12; 11; 17; Wis +2, Cha +4; ; acid, fire, lightning, thu nder, bludgeoning, piercing, and slashing from non magical weapons; cold, necrotic, poison; charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained; darkvision 60ft., passive Perception 10; Common, Elvish; 4; 1100; ; Corrupting Touch. Melee Spell Attack: +4 to hit, reach 5 ft., one target. Hit: 12 (3d6 + 2) necrotic damage.<br><br>Horrifying Visage. Each non-undead creature within 60 feet of the banshee that can see her must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, with disadvantage if the banshee is within line of sight, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the banshee's Horrifying Visage for the next 24 hours.<br><br>Wail (1/Day). The banshee releases a mournful wail, provided that she isn't in sunlight. This wail has no effect on constructs and undead. All other creatures within 30 feet of her that can hear her must make a DC 13 Constitution saving throw. On a failure, a creature drops to 0 hit points. On a success, a creature takes 10 (3d6) psychic damage.; ; Detect Life. The banshee can magically sense the presence of living creatures up to 5 miles away. She knows the general direction they're in but not their exact locations.<br><br>Incorporeal Movement. The banshee can move through other creatures and objects as if they were difficult terrain. She takes 5 (1d10) force damage if she ends her turn inside an object.
Basilisk; Medium monstrosity; unaligned; 15; natural armor; 52; 8d8+16; 20ft.; 16; 8; 15; 2; 8; 7; ; ; ; ; ; darkvision 60ft., passive Perception 9; ; 3; 700; ; Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.; ; Petrifying Gaze. If a creature starts its turn within 30 feet of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends . On a failure , the creature is petrified until freed by the greater restoration spell or other magic.<br>A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again . If it looks at the basilisk in the meantime, it must immediately make the save.<br>If the basilisk sees its reflection within 30 feet of it in bright<br>light, it mistakes itself for a rival and targets itself with its gaze
Behir; Huge monstrosity; neutral evil; 17; natural armor; 168; 16d12 +64; 50ft., climb 40ft.; 23; 16; 18; 7; 14; 12; ; Perception +6, Stealth +7; ; lightning; ; darkvision 90ft., passive Perception 16; Draconic; 11; 7200; ; Multiattack. The behir makes two attacks: one with its bite and one to constrict.<br><br>Bite. Melee Weapon Attack: +10 to hit, reach 10ft., one target. Hit: 22 (3d10 + 6) piercing damage.<br><br>Constrict. Melee Weapon Attack: + 10 to hit, reach 5 ft., one Large or smaller creature. Hit: 17 (2d10 + 6) bludgeoning damage plus 17 (2d10 + 6) slashing damage. The target is grappled (escape DC 16) if the behir isn't already constricting a creature, and the target is restrained until this grapple ends. Lightning Breath (Recharge 5-6). The behir exhales a line of lightning that is 20 feet long and 5 feet wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.<br><br>Swallow. The behir makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the behir, and it takes 21 (6d6) acid damage at the start of each of the behir's turns. A behir can have only one creature swallowed at a time. If the behir takes 30 damage or more on a single turn from the swallowed creature, the behir must succeed on a DC 14<br>Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 feet of the behir. If the behir dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 feet of movement, exiting prone.; ; 
Beholder; Large aberration; lawful evil; 18; natural armor; 180; 19d10 +76; 0ft., fly 20ft. (hover); 10; 14; 18; 17; 15; 17; lnt +8, Wis +7, Cha +8; Perception +12; ; ; prone; darkvision 120 ft ., passive Perception 22; Deep Speech , Undercommon; 13; 10000; ; Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (4d6) piercing damage .<br><br>Eye Rays. The beholder s hoots three of the following magical eye rays at random (reroll duplicates), choosing one to three targets it can see within 120 feet of it:<br>1. Charm Ray. The targeted creature mu st succeed on a DC 16 Wisdom saving throw or be charmed by the beholder for 1 hour, or until the beholder harms the creature.<br>2. Paralyzing Ray. The targeted creature mu st succeed on a DC 16 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns , ending the effect on itself on a success .<br>3. Fear Ray. The targeted creature must succeed on a DC 16 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success .<br>4. Slowing Ray. The targeted creature must succeed on a DC 16 Dexterity saving throw. On a failed save, the target's speed is halved for 1 minute . In addition, the creature can't take reactions, and it can take either an action or a bonus action on its turn, not both . The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br>5. Enervation Ray. The targeted creature mu st make a DC 16 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one .<br>6. Telekinetic Ray. If the target is a creature , it must succeed on a DC 16 Strength saving throw or the beholder moves it up to 30 feet in any direction. It is restrained by the ray's telekinetic grip until the start of the beholder's next turn or until the beholder is incapacitated. If the target is an object weighing 300 pounds or less that isn't being worn or carried, it is moved up to 30 feet in any direction. The beholder can also exert fine control on objects with this ray, such as manipulating a simple tool or opening a door or a container.<br>7. Sleep Ray. The targeted creature must succeed on a DC 16 Wisdom saving throw or fall asleep and remain unconscious for 1 minute. The target awakens if it takes damage or another creature takes an action to wake it. This ray has no effect on constructs and undead.<br>8. Petrification Ray. The targeted creature must make a DC 16 Dexterity saving throw. On a failed save, the creature begins to turn to stone and is restrained . It mu st repeat the saving throw at the end of its next turn . On a success, the effect ends. On a failure , the creature is petrified until freed by the greater rest.oration spell or other magic.<br>9. Disintegration Ray. If the target is a creature, it must<br>succeed on a DC 16 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust. If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger object or creation of magical force, this ray disintegrates a 10-foot cube of it.<br>10. Death Ray. The targeted creature must succeed on a DC 16 Dexterity saving throw or take 55 (10d10) necrotic damage. The target dies if the ray reduces it to 0 hit points.<br>; The beholder can take 3 legendary actions, using the Eye Ray option below. It can take only one legendary action at a time and only at the end of another creature's turn . The beholder regains spent legendary actions at the start of its turn .<br>Eye Ray. The beholder uses on e random eye ray.; Antimagic Cone. The beholde r's central eye creates an area of antimagic, as in the anti magic field spell, in a 150-foot cone. At the start of each of its turns , the beholder decides which way the cone faces and whether the cone is active. The area works against the beholder's own eye rays.
Death Tyrant; Large undead; lawful evil; 19; natural armor; 187; 25d10 + 50; 0ft, fly 20ft. (hover); 10; 14; 14; 19; 15; 19; Str +5, Con +7, lnt +9, Wis +7, Cha +9; Perception +12; ; poison; charmed, exhaustion, paralyzed, petrified, poisoned, prone; darkvision 120ft., passive Perception 22; Deep Speech, Undercommon; 14; 11500; ; Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (4d6) piercing damage .<br><br>Eye Rays. The death tyrant shoots three of the following magical eye rays at random (reroll duplicates), choosing one to three targets it can see within 120 feet of it:<br>1. Charm Ray. The targeted creature mu st succeed on a DC 17 Wisdom saving throw or be charmed by the beholder for 1 hour, or until the beholder harms the creature.<br>2. Paralyzing Ray. The targeted creature mu st succeed on a DC 17 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns , ending the effect on itself on a success .<br>3. Fear Ray. The targeted creature must succeed on a DC 17 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success .<br>4. Slowing Ray. The targeted creature must succeed on a DC 17 Dexterity saving throw. On a failed save, the target's speed is halved for 1 minute . In addition, the creature can't take reactions, and it can take either an action or a bonus action on its turn, not both . The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br>5. Enervation Ray. The targeted creature must make a DC 17 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one .<br>6. Telekinetic Ray. If the target is a creature , it must succeed on a DC 17 Strength saving throw or the beholder moves it up to 30 feet in any direction. It is restrained by the ray's telekinetic grip until the start of the beholder's next turn or until the beholder is incapacitated. If the target is an object weighing 300 pounds or less that isn't being worn or carried, it is moved up to 30 feet in any direction. The beholder can also exert fine control on objects with this ray, such as manipulating a simple tool or opening a door or a container.<br>7. Sleep Ray. The targeted creature must succeed on a DC 17 Wisdom saving throw or fall asleep and remain unconscious for 1 minute. The target awakens if it takes damage or another creature takes an action to wake it. This ray has no effect on constructs and undead.<br>8. Petrification Ray. The targeted creature must make a DC 17 Dexterity saving throw. On a failed save, the creature begins to turn to stone and is restrained . It mu st repeat the saving throw at the end of its next turn . On a success, the effect ends. On a failure , the creature is petrified until freed by the greater rest.oration spell or other magic.<br>9. Disintegration Ray. If the target is a creature, it must<br>succeed on a DC 17 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust. If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger object or creation of magical force, this ray disintegrates a 10-foot cube of it.<br>10. Death Ray. The targeted creature must succeed on a DC 17 Dexterity saving throw or take 55 (10d10) necrotic damage. The target dies if the ray reduces it to 0 hit points.<br>; The death tyrant can take 3 legendary actions, using the Eye Ray option below. It can take only one legendary action at a time and only at the end of another creature's turn. The tyrant regains spent legendary actions at the start of its turn.<br><br>Eye Ray. The death tyrant uses one random random eye ray.; Negative Energy Cone. The death tyrant's central eye emits an invisible, magical150-foot cone of negative energy. At the start of each of its turns, the tyrant decides which way the cone faces and whether the cone is active.<br>Any creature in that area can't regain hit points. Any<br>humanoid that dies there becomes a zombie under the tyrant's command. The dead humanoid retains its place in the initiative order and animates at the start of its next turn, provided that its body hasn't been completely destroyed.
Spectator; Medium aberration; lawful neutral; 14; natural armor; 39; 6d8 + 12; 0ft., fly 30ft. (hover); 8; 14; 14; 13; 14; 11; ; Perception +6; ; ; prone; darkvision 120ft., passive Perception 16; Deep Speech , Underco mmon, te lepathy 120 ft.; 3; 700; ; Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6- 1) piercing damage.<br><br>Eye Rays. The spectator shoots up to two of the following<br>magical eye rays at one or two creatures it can see within 90 feet of it. It can use each ray only once on a turn.<br>1. Confusion Ray. The target must succeed on a DC 13<br>Wisdom saving throw, or it can't take reactions until the end of its next turn. On its turn, the target can't move, and it uses its action to make a melee or ranged attack against a randomly determined creature within range. If the target can't attack, it does nothing on its turn .<br>2. Paralyzing Ray. The target must succeed on a DC 13<br>Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br>3. Fear Ray. The target must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, with disadvantage if the spectator is visible to the target, ending the effect on itself on a success.<br>4. Wounding Ray. The target must make a DC 13 Constitution saving throw, taking 16 (3d10) necrotic damage on a failed save, or half as much damage on a successful one.<br><br>Create Food and Water. The spectator magically creates<br>enough food and water to sustain itself for 24 hours.<br><br>REACTIONS<br>Spell Reflection. If the spectator makes a successful saving throw against a spell, or a spell attack misses it, the spectator can choose another creature (including the spellcaster) it can see within 30 feet of it. The spell targets the chosen creature instead of the spectator. If the spell forced a saving throw, the chosen creature makes its own save. If the spell was an attack, the attack roll is rerolled against the chosen creature.; ; 
Bugbear; Medium goblinoid; chaotic evil; 16; hide armor, shield; 27; 5d8 + 5; 30ft.; 15; 14; 13; 8; 11; 9; ; Stealth +6, Survival +2; ; ; ; darkvision 60ft., passive Perception 10; Common, Goblin; 1; 200; ; Morningstar. Melee Weapon Attack: +4 to hit, reach 5 ft. , one target. Hit: ll (2d8 + 2) piercing damage.<br><br>javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/1 20 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.; ; Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).<br>Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of com bat, the target takes an extra 7 (2d6) damage fro m the attack.
Bugbear Chief; Medium goblinoid; chaotic evil; 17; chain shirt, sheild; 65; 10d8 + 20; 30ft.; 17; 14; 14; 11; 12; 11; ; Intimidation +2, Stealth +6, Survival +3; ; ; ; darkvision 60ft., passive Perception ll; Common, Goblin; 3; 700; ; Multiattack. The bugbear makes two melee attacks.<br><br>Morningstar. Melee Weapon Attack: +5 to hit , reach 5 ft., one target. Hit: 12 (2d8 + 3) piercing damage.<br><br>Javelin. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 10 (2d6 + 3) piercing damage in melee or 6 (1d6 + 3) piercing damage at range.; ; Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).<br>Heart of Hruggek. The bugbear has advantage on saving<br>throws against being charmed, frightened , paralyzed,<br>poisoned, stunned, or put to sleep.<br>Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.
Bullywug; Medium humanoid; neutral evil; 15; hide armor, shield; 11; 2d8 + 2; 20ft., swim 40ft.; 12; 12; 13; 7; 10; 7; ; Stealth +3; ; ; ; passive Perception 10; Bullywug; 1/4; 50; ; Multiattack. The bullywug makes two melee attacks: one with its bite and one with its spear.<br>Bite. Melee Weapon Attack: +3 to hit , reach 5 ft ., o ne target. Hit: 3 (1d4 + 1) bludgeoning damage.<br>Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20f60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.; ; Amphibious. The bullywug can breath e air and water.<br>Speak with Frogs and Toads. The bullywug can communicate<br>simple concepts to frog s and toads when it s peaks in Bullywug.<br>Swamp Camouflage. The bullywug has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.<br>Standing Leap. The bullywug's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Carrion Crawler; Large monstrosity; unaligned; 13; natural armor; 51; 6d10 + 18; 30ft., flimb 30ft.; 14; 13; 16; 1; 12; 5; ; Perception +3; ; ; ; darkvision 60ft., passive Perception 13; ; 2; 450; ; Multiattack. The carrion crawler makes two attacks: one with its tentacles and one with its bite.<br>Tentacles. Melee Weapon Attack: +8 to hit, reach 10ft., one creature. Hit: 4 (1d4 + 2) poison damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the poison on itself on a success.<br>Bite. Melee Weapon Attack: +4 to hit, reach 5 ft ., one target. Hit: 7 (2d4 + 2) piercing damage.; ; Keen Smell. The carrion crawler has advantage on Wisdom (Perception) checks that rely on smell.<br>Spider Climb. The carrion crawler can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Centaur; Large monstrosity; neutral good; 12; ; 45; 6d10 +12; 50ft.; 18; 14; 14; 9; 13; 11; ; Athletics +6, Perception +3, Survival +3; ; ; ; passive Perception 13; Elvish, Sylvan; 2; 450; ; Multiattack. The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.<br>Pike. Melee Weapon Attack: +6 to hit, reach 10ft., one target. Hit: 9 (1d10 + 4) piercing damage.<br>Hooves. Melee Weapon Attack: +6 to hit , reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage .<br>Longbow. Ranged Weapon Attack: +4 to hit , range 150/600 ft ., one target. Hit: 6 (1d8 + 2) piercing damage.; ; Charge. If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.
Chimera; Large monstrosity; chaotic evil; 14; natural armor; 114; 12d10 + 48; 30ft,. fly 60ft.; 19; 11; 19; 3; 14; 10; ; Perception +8; ; ; ; darkvision 60 ft., passive Perception 18; understands Draconic but can't speak; 6; 2300; ; Multiattack. The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns .<br><br>Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.<br><br>Horns. Melee Weapon Attack: +7 to hit, reach 5 ft., one target.Hit: 10 (1d12 + 4) bludgeoning damage.<br><br>Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.<br><br>Fire Breath (Recharge 5-6). The dragon head exhales fire in a 15-foot cone . Each creature in that area must make a DC 15 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one.; ; 
